Frame,Visibility,X,Y
398,1,610,36
399,1,608,41
400,1,608,48
401,1,608,48
402,1,608,55
403,1,608,63
404,1,606,73
405,1,606,83
406,1,606,95
407,1,606,95
408,1,604,108
409,1,602,121
410,1,602,136
411,1,601,148
412,1,601,163
413,1,601,163
414,1,599,178
415,1,599,193
416,1,597,211
417,1,588,220
418,1,569,198
419,1,567,198
420,1,556,188
421,1,549,181
422,1,544,178
423,1,539,176
424,1,535,176
425,1,535,175
426,1,533,176
427,1,530,176
428,1,528,180
429,1,524,178
430,1,526,170
431,1,526,170
432,1,521,165
433,1,516,161
434,1,514,160
435,1,510,158
436,1,508,156
437,1,508,156
438,1,507,158
439,1,505,160
440,1,501,163
441,1,500,165
442,1,498,170
443,1,496,170
444,1,496,175
445,1,493,181
446,1,491,188
447,1,489,196
448,1,487,205
449,1,487,206
450,1,485,213
451,1,484,223
452,1,482,235
453,1,480,246
454,1,478,258
455,1,478,256
456,1,477,270
457,1,475,283
458,1,450,176
459,1,450,176
460,1,450,180
461,1,450,180
462,1,450,183
463,1,448,188
464,1,429,203
465,1,418,178
466,1,411,156
467,1,411,156
468,1,404,140
469,1,399,125
470,1,393,113
471,1,390,105
472,1,386,96
473,1,386,96
474,1,383,90
475,1,379,86
476,1,375,81
477,1,374,78
478,1,372,78
479,1,372,78
480,1,368,78
481,1,367,78
482,1,365,80
483,1,363,81
484,1,363,83
485,1,361,83
486,1,361,86
487,1,360,91
488,1,360,96
489,1,360,101
490,1,358,108
491,1,358,108
492,1,358,116
493,1,352,120
494,1,351,126
495,1,349,133
496,1,349,138
497,1,349,138
498,1,347,145
499,1,345,151
500,1,345,158
501,1,344,166
502,1,344,175
503,1,344,176
504,1,342,183
505,1,342,193
506,1,340,203
507,1,338,215
508,1,338,226
509,1,338,226
510,1,336,236
511,1,336,250
512,1,335,263
513,1,335,275
514,1,347,261
515,1,347,261
516,1,360,241
517,1,370,225
518,1,379,215
519,1,418,225
520,1,397,200
521,1,397,200
522,1,404,193
523,1,411,188
524,1,418,185
525,1,423,183
526,1,429,183
527,1,430,183
528,1,436,183
529,1,441,183
530,1,446,186
531,1,450,188
532,1,454,191
533,1,455,193
534,1,459,196
535,1,462,201
536,1,454,200
537,1,443,193
538,1,436,188
539,1,434,188
540,1,425,183
541,1,416,181
542,1,409,181
543,1,404,183
544,1,399,185
545,1,399,185
546,1,391,188
547,1,384,190
548,1,377,195
549,1,372,200
550,1,367,206
551,1,365,206
552,1,360,215
553,1,354,221
554,1,349,231
555,1,344,240
556,1,340,250
557,1,340,250
558,1,335,260
559,1,331,270
560,1,328,238
561,1,326,210
562,1,322,185
563,1,322,183
564,1,322,165
565,1,320,150
566,1,319,135
567,1,319,125
568,1,319,116
569,1,319,116
570,1,319,108
571,1,317,103
572,1,319,100
573,1,317,95
574,1,317,93
575,1,317,93
576,1,319,91
577,1,319,91
578,1,319,91
579,1,319,93
580,1,319,95
581,1,320,96
582,1,320,98
583,1,322,103
584,1,322,106
